project_id,project_name,project_objective
50634,Protection assistance for returns in FATA,"1.	Targeted men, women, boys and girls have improved, equitable and non-discriminatory access to humanitarian assistance and protection services
2.	Targeted men and women have increased access to livelihoods opportunities"
48763,"Provision of integrated Health care services for internally displaced persons (IDPs), Returnees and Host communities in Garbaharey and Burdhubo Districts of Gedo region, Somalia.","Overall Objective:
To provide Integrated comprehensive health care services for the population of Garbaharey and Burdhubo District in Gedo, Somalia.
Specific Objectives:
1. To contribute to the reduction of maternal and child morbidity and mortality in the two districts of Gedo region (Garbaharey and Burdhubo).
2.To reduce high rates of morbidity and mortality through ensuring access to primary health care services in two districts of Gedo region (Garbaharey and Burdhubo).
3. To strengthen and expand early warning disease detection to mitigate, detect and respond to disease outbreaks in a timely manner in the two districts of Gedo region (Garbaharey and Burdhubo)."
48552,"Integrated WASH response for 61690 (12338men, 15422women, 18507 girls and 15423 boys) drought affected and conflict displaced populations in Banadir, Sool, Nugaal, Bari, Gedo and Lower shabelle regionsions","The project aims to reduce the vulnerability of 61690 (12338men, 15422women, 18507 girls and 15423 boys) through increased and sustained access to safe water and adoption of appropriate hygiene and sanitation practices. 
Based on Inter-agency assessments by OCHA in September 2016 where Norwegian Church Aid -NCA participated, community members (men and Women) were consulted during needs identification in select locations. The impact of the drought and the adverse effects it has had on people remains alarming as coping mechanisms are further weakened. The need for water remains high on the list of priorities as a life saving measure for both people and animals. 
To enhance provision of WASH services, Specific objectives of this project will include;
•	Increase access to safe sustainable water supply in target locations at both household and institutional level while promoting water treatment and household level
•	Improving nutritional levels for children and households through hygiene awareness campaigns and promotion of hand-washing with soap/ash to ensure reduced exposure to disease outbreaks. 
•	Capacity enhancement for men and women to increase ownership and enhance sustainability of water supply systems through training on operation and maintenance
•	Promote construction of culturally sensitive gender segregated latrines at household and institutional levels towards achievement of open defecation free communities
•	Ensure 50% women representation in decision making structures like the water committee and there inclusion in planning to enhance their safety and security.
•	Encourage protective healthy behavioral practices amongst the affected population.
•	Provide access to safe water, hygiene and sanitation for people in emergency need"
50935,Integrated lifesaving and life sustaining Education in Emergencies support for highly vulnerable children aged 3 - 17 years in Iraq,"Affected and vulnerable girls and boys aged 3 - 17 years have access to quality,  inclusive, life saving and life sustaining education in emergencies opportunities that promotes active child and community participation."
50332,Jordan,n/a
51865,United Nations Children's Fund requirements for nutrition,n/a
50310,Jordan,n/a
51881,UNICEF requirements for education,n/a
51877,United Nations Children's Fund requirements for protection,n/a
52238,United Nations Children's Fund requirements for health,n/a
51646,Emergency Nutrition Response in Sudan,Reduce morbidity and mortality associated with acute malnutrition among high vulnerable population and communities.
51706,Provision of emergency lifesaving child protecton services in newly displaced children affected by conflict.,"1: Improve access of newly displaced boys and girls to specific integrated lifesaving child protection services, including UXO and ERW risk education, to address their protection needs.

2: Support the establishment of active community based child protection networks (CBCPN) that prevent newly displaced boys and girls from being exposed to violence abuse and exploitation.

3: Enhance the quality of child protection services provision by developing the capacity of frontline staff."
51764,"Expand and sustain access to lifesaving improved water and sanitation and hygiene promotion services for 910,017 mostly new and highly vulnerable emergency affected populations","Expand and sustain access to lifesaving improved water and sanitation as well as hygiene promotion services for 910,017 most new and underserved vulnerable emergency affected populations"
51710,Supporting provision of an integrated life-saving health services to the vulnerable population in the emergency affected localities,"1.	Support provision of an integrated PHC services to the populations affected by the emergencies including neonatal and child Health services, 

2.	Strengthen the national, state and local health capacities to prepare, detect and efficiently respond to public health threats and emergencies,

3.	Enhance utilization of health services, increase health awareness and improve health and hygiene practices of the vulnerable population through communication for development and behavior change interventions.

This project is in line with the strategic objective """"Provide primary health care services including referral services for vulnerable population affected by conflict and natural disasters"""" and the Multiyear Health Response Strategy """"Meeting basic needs  and /or access to basic services""""."
51704,"Provision and Sustaining of emergency WASH services for South Sudanese refugees and host communities in North, East and South Darfur, West and South Kordofan ","Ensuring equitable access of WASH services to South Sudanese refugees and host communities in North, East and South Darfur States, West Kordofan and South Kordofan States."
49635,(W) Information management support to Syria crisis response actors,"Leveraging successes to date, acknowledging areas for improvement and understanding the critical need for efforts to be driven forward, iMMAP plans to continue to provide support to all Syria crisis response actors (from cross-border hub and from inside Syria). As such, it involves support to the to the coordination and common services sector partners: OCHA, the cluster/sector leadership, its members, NGO fora, and UN agencies through the following information management (IM) themes. 

Specific objectives:
1.	Strengthening the IM knowledge, skills and experience of information and data management staff through our capacity strengthening programs; 
2.	Making IM expertise available to humanitarian actors to standardize practices (principles, tools, processes, skills) through our common services program;
3.	Enhancing coordination mechanisms and providing direct technical support to actors and initiatives;
4.	Improving food security analysis inside Syria whilst taking into consideration the surrounding countries affected by the crisis; and
5.	In collaboration with partners, gain a better understanding of the urban context inside Syria."
52208,Emergency Operation (EMOP) Assistance to Victims of Hurricane Maria.,"Immediate food assistance for two months’ to cater for the food
need of vulnerable populations in the worst affected community in
the relief and early recovery period, target population.Cash-based
intervention aims coordinated with other partners and through a
market/traders/supply chain assessment"
52220,Supply Chain and Emergency Telecommunications Augmentation and Coordination in support of Dominica,"To provide the essential logistics and emergency telecommunications
requirements to ensure the delivery of key relief items to the affected
population and the necessary operational support to the
humanitarian community for its crisis response."
51737,Provide integrated child protection responses to enhance protection and address the life-saving needs of SSRs and host communities,"To provide integrated child protection responses to enhance protection and address the life-saving needs of SSRs and host communities in 13 localities, which are among the 72 most deprived localities prioritized by UNICEF."
50896,Increasing health security for Iraqi vulnerable populations and responding to the life saving health needs of the people of Mosul,"Increased access to and provision of health care services for IDPs and host communities in the most conflict-affected governorates of Iraq, through the provision of a comprehensive primary health care package delivered to the extent possible through mobile clinics, improved referral capacities of key field and existing hospitals, the timely detection and response to communicable disease outbreaks and the protection of health care professionals through the enforcement of MEASURES, and ensuring the sustainability of life saving medication and distribute them to health partners based on assessed needs."
52250,OXFAM requirements for wash,n/a
51868,United Nations Population Fund requirements for health,n/a
51850,WFP requirements for food security,n/a
50325,Lebanon,n/a
49626,Y- Support the WASH infrastructure in 14 water stations and 32 health centers in Idleb and Al Hasakeh.,"Restore and maintain existing water and sewerage systems, and health centers in order to enable vulnerable IDPs and host community households to have access to sustained and healthy WASH systems and decrease the number of WBDs infections in Rural Idlib, Aleppo and in Al Hasakeh."
51773,Y - Rehabilitation and operation of 3 water stations in Rural Idled for 4 months with an exit strategy ensuring that local councils will run the stations,Water and sanitation services are available for all the population through rehabilitating and operating 3 Water Stations
49743,Y - Improve the quality of formal education in the Northern Governorates of Syria (Aleppo - Idleb - Hama and Homs) for 1.2 M crisis-affected boys and girls and 20000 teachers and through the provision of school textbooks for 1.2 M Syrian students – QUEST EDUCATION.,•	Increase safe and equitable access to formal education for 1.2M crisis-affected children and youth (aged 5-17 years) in Northern Syria.
49384,"Y- Mainstream the education of 150,000 crisis affected children and young people (boys and girls) aged 5 -17 years in Northern Syria through provision of non-formal education, distribution of learning materials and supplies – QUEST EDUCATION.","Improve safe and equitable access to non-formal education services for 150,000 crisis affected young people (Girls 85,000 and Boys 65,000) in the conflict affected areas of Aleppo, Hama and Idleb Governorates through self-learning programs, learning materials and supplies distribution and initiation of co- curricular activities."
49386,"Y- Providing enabling education environments for 69,874 crisis affected students through rebuilding and rehabilitating classrooms, providing basic Infrastructure and WASH facilities with a specific focus on Gender Equality in Governorates of Aleppo, Idlib and Hama in North Syria – QUEST EDUCATION","•	To Enhance the Teaching and Learning Capacities of 155 schools (with 69874 enrolled girls boys) in three governorates in line with the priorities of the Education Cluster of scaling up and improving the quality of formal and non-formal education for crisis-affected school aged girls and boys (5-17 years) and youth (18-20 years ).
•	Ensure safe access to 5000 crisis affected students to education through rehabilitation and reinforcement of basements in existing schools into fully equipped classrooms.
•	Improve the quality of formal education within a protective environment for 69874 crisis-affected boys and girls."
49482,"Y- Promoting Quality Education in the Governorates of Northern Syria (Idleb, Aleppo, Hama) through building the capacity of 1120 school principals and 13000 teachers from both genders based on INEE standards (in school management and situational leadership, IT, communication, supervision skills, solving problems, psychological support, hygiene promotion, SGBV and first aid) - QUEST EDUCATION","- To build and strengthen the capacity of 1120 school principals and 13000 school teachers from both genders through inclusive and comprehensive training programs on INEE, School management, Classroom management, Active Learning, Situational Leadership, Supervision, psychological support, hygiene promotion and First Aid in the governorates of Aleppo, Hama and Idleb. 

- To contribute in scaling up and improving the quality of formal and non-formal education for the crisis-affected areas in Northern Governorates of Syria."
49405,"Y- Establishing and operating 10 Early Childhood Care and Education (ECCE) Centers in Aleppo, Hama and Idleb, and embedding the ECCE services through these centers, hence enabling 1100 children boys and girls aged 3 to 5 years have access to safe education centers (kindergarten). ",Increase safe and equitable access to non-formal education for  1100 crisis-affected children aged 3-5 years (Boys: 500 - Girls: 600) and increasing the ECCE (Early Childhood Care and Education) services through embedding INEE standards.
49517,"Y- Imparting Vocational Training to 900 youths in 12 VTCs  in the electricity and technology fields in 6 locations of Aleppo city, Atareb, Azaz and Idleb city, Hama and Homs for about 4 hours for 6 months for each trainee - QUEST Initiative",- Enabling 900 Syrian youths to be eligible to work in the absence of proper conditions for education and the absence of college education and formal certificates coupled with the obligation of having to work to earn a living. - Helping the youth to get a decent income.
49474,"Y- Imparting Life and Soft Skills (Vocational) Trainings for 3000 Youth from both genders (17-24 Year) in Idleb, Aleppo and Hama countrysides through providing a three-months training, graduation exam with a professional certificate with the objectve to increase Youth access to the labour market - QUEST Initiative.","Train 3000 Youth on language, computer, team building, communication, leadership, management, solving problems, time management, community engagement, motivation, conflict resolution, peace building, civil defence and first aid to increase Youth access to the labour market."
51774,Y. Improving the resilience of the host communities in Northern Syria through rehabilitation of 1500 housing units,To help most vulnerable 1500 families with rehabilitation and renovation of their war-affected houses ensuring their resilience towards hard weather and security conditions is enhanced
51770,"Y- Ensuring low cost daily provision of Bread to 320,000 households for a year in 2 Governorates of Aleppo and Idleb","Provision of low cost bread (approx. 50% less than market price) to 320,000 IDPs and Host communities through provision of food inputs to 20 Bread-Making Plants in Idleb and Aleppo Governorates"
49759,"Y- Provision of 5000 food baskets as Emergency response, and 2500 households Agricultural Assistance in Idleb in Syria","Reach 60000 people most in need of protection and life saving assistance and those most at risk from the effects of conflict, particularly in besieged, military encircled and hard to reach areas.
Provide emergency response capacity, lifesaving, and life sustaining assistance to 60000 most vulnerable crisis affected people, including people with specific needs
Support and enhance livelihoods of affected communities and households by increasing agricultural production, protection of productive assets, value chain support and restoring/creating new income generating activities to prevent negative or irreversible coping mechanisms."
