date,value,@OBS_STATUS,freq,ref_area,indicator,unit_mult,time_format
1965,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1966,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1967,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1968,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1969,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1970,3.06122000206122,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1971,3.05226042980931,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1972,2.81955586834381,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1973,2.45857965494532,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1974,2.43686666583333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1975,2.37129999908333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1976,2.47084166591667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1977,2.43939999925,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1978,2.27402499916667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1979,2.1745583325,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1980,2.14120833258333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1981,2.112691666,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1982,2.14002499916667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1983,2.113049999,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1984,2.133083333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1985,2.20014999966667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1986,2.1774166665,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1987,2.10598333333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1988,2.012425,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1989,1.95025833333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1990,1.81253333333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1991,1.72755,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1992,1.62896666666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1993,1.61579083333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1994,1.52744416666667,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1995,1.417375,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1996,1.41004083333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
1997,1.48480583333333,,A,BN,ENDA_XDC_USD_RATE,0,P1Y
