DATAFLOW,FREQ,iso3,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,year,value,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1981,0.92041,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1982,1.13264,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1983,1.267521,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1984,1.432426,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1985,1.471942,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1986,1.107388,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1987,0.925488,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1988,0.911463,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1989,0.9768,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1990,0.828409,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1991,0.846513,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1992,0.796965,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1993,0.857625,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1994,0.829365,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1995,0.730791,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1996,0.767516,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1997,0.886812,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1998,0.89982,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,1999,0.938283,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2000,1.082705,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2001,1.116533,,F,6,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(2.0),A,BEL,S1,S1,EXC_A,F21,_Z,_Z,XDC_USD,_Z,N,T001,2002,1.057559,,F,6,A,0,EUR
